区域,房源维护时间,房源编号,租赁方式,房屋类型厅室,房屋类型面积,房屋类型精装修,经纪人,面积,朝向,维护,入住,楼层,电梯,车位,用水,用电,燃气,采暖,租期,看房,付款方式,租金,押金,服务费,中介费
朝阳 双桥 温泉北里,2020/4/15,BJ2420146637449478144,整租,3室1厅1卫,80㎡,精装修,陈涛,80㎡,东南,7天前,随时入住,高楼层/6层,无,租用车位,民水,民电,有,集中供暖,3年以内,需提前预约,季付,4900,4900,0,4900
顺义 顺义城 石园西区,2020/4/15,BJ2486960216365867008,整租,2室1厅1卫,62㎡,#,李国强,62㎡,南,7天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,2800,2800,0,2800
门头沟 滨河西区 葡东小区,2020/4/20,BJ2370237727838322688,整租,2室1厅1卫,67㎡,#,丛日辉,67㎡,南,2天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,需咨询,2500,2500,0,2500
顺义 顺义城 滨河小区,2020/4/12,BJ2369593927842922496,整租,2室1厅1卫,61㎡,#,王云,61㎡,南 北,10天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,3年以内,需提前预约,季付,2500,2500,0,2500
石景山 石景山其它 燕山水泥厂,2020/4/21,BJ2459919424300253184,整租,2室1厅1卫,60㎡,#,王欣宇,60㎡,南,1天前,随时入住,中楼层/6层,无,暂无数据,民水,暂无数据,有,集中供暖,暂无数据,需提前预约,需咨询,3500,3500,0,3500
顺义 马坡 维尼纶家属楼,2020/4/21,BJ2396849820259057664,整租,3室1厅1卫,69㎡,精装修,陈晚银,69㎡,南 北,1天前,随时入住,低楼层/6层,无,免费使用,暂无数据,暂无数据,暂无数据,暂无数据,1年以内,需提前预约,双月付,2200,2200,0,2200
朝阳 首都机场 东平里,2020/4/21,BJ2360093402386661376,整租,2室1厅1卫,67㎡,精装修,张晓彤,67㎡,南,1天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,需咨询,5000,5000,0,5000
房山 良乡 行宫园三里,2020/4/21,BJ2255727650943270912,整租,2室1厅1卫,72㎡,#,李泽鹏,72㎡,南 北,1天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,季付,2500,2500,0,2500
大兴 大兴其它 福苑小区,2020/4/21,BJ2380948963923861504,整租,2室1厅1卫,65㎡,#,桓玉婷,65㎡,东 西,1天前,随时入住,低楼层/6层,无,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,月付,3000,3000,0,3000
丰台 卢沟桥 晓月苑五里,2020/4/21,BJ2481129187025625088,整租,1室1厅1卫,61㎡,#,邹贺,61㎡,南,1天前,随时入住,中楼层/22层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,需咨询,3700,3700,0,3700
门头沟 大峪 黑山北小街11号院,2020/4/21,BJ2335979390032691200,整租,2室1厅1卫,70㎡,#,,70㎡,南 北,1天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,季付,2400,2400,0,2400
亦庄开发区 亦庄开发区其它 南海雅苑北区,2020/4/16,BJ2483842691712942080,整租,1室1厅1卫,61㎡,#,孙玲玲,61㎡,东 西,6天前,随时入住,高楼层/22层,无,暂无数据,暂无数据,暂无数据,有,集中供暖,3年以内,需提前预约,半年付,3500,3500,0,3500
顺义 马坡 顺兴街17号院,2020/4/21,BJ2482511932645982208,整租,2室1厅1卫,60㎡,#,赵英淼,60㎡,西北,1天前,随时入住,低楼层/28层,有,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,季付,2600,2600,0,2600
丰台 青塔 张仪村4号院,2020/4/19,BJ2410865777516756992,整租,1室1厅1卫,60㎡,#,杨星,60㎡,东 西,3天前,随时入住,中楼层/6层,无,免费使用,民水,民电,有,集中供暖,3年以上,需提前预约,季付,3500,3500,0,3500
顺义 马坡 维尼纶家属楼,2020/4/21,BJ2396849820259057664,整租,3室1厅1卫,69㎡,精装修,陈晚银,69㎡,南 北,1天前,随时入住,低楼层/6层,无,免费使用,暂无数据,暂无数据,暂无数据,暂无数据,1年以内,需提前预约,双月付,2200,2200,0,2200
朝阳 首都机场 东平里,2020/4/21,BJ2360093402386661376,整租,2室1厅1卫,67㎡,精装修,张晓彤,67㎡,南,1天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,需咨询,5000,5000,0,5000
大兴 大兴其它 福苑小区,2020/4/21,BJ2380948963923861504,整租,2室1厅1卫,65㎡,#,桓玉婷,65㎡,东 西,1天前,随时入住,低楼层/6层,无,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,月付,3000,3000,0,3000
亦庄开发区 亦庄开发区其它 南海雅苑北区,2020/4/16,BJ2483842691712942080,整租,1室1厅1卫,61㎡,#,方皓,61㎡,东 西,6天前,随时入住,高楼层/22层,无,暂无数据,暂无数据,暂无数据,有,集中供暖,3年以内,需提前预约,半年付,3500,3500,0,3500
顺义 顺义城 滨河小区,2020/4/18,BJ2418076239077588992,整租,2室1厅1卫,58㎡,#,白羽,58㎡,东南,4天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,2400,2400,0,2400
朝阳 首都机场 东平里,2020/4/13,BJ2485982924827000832,整租,2室1厅1卫,58㎡,#,张悦,58㎡,南,9天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3900,3900,0,3900
丰台 青塔 张仪村4号院,2020/4/19,BJ2410865777516756992,整租,1室1厅1卫,60㎡,#,王青,60㎡,东 西,3天前,随时入住,中楼层/6层,无,免费使用,民水,民电,有,集中供暖,3年以上,需提前预约,季付,3500,3500,0,3500
顺义 马坡 顺兴街17号院,2020/4/21,BJ2482511932645982208,整租,2室1厅1卫,60㎡,#,赵英淼,60㎡,西北,1天前,随时入住,低楼层/28层,有,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,季付,2600,2600,0,2600
门头沟 城子 龙泉花园,2020/4/20,BJ2376716023052648448,整租,2室1厅1卫,70㎡,#,陈丽伟,70㎡,南 北,2天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,需咨询,2500,2500,0,2500
朝阳 双桥 温泉东里,2020/4/20,BJ2404132400352198656,整租,1室1厅1卫,87㎡,精装修,王晓伟,87㎡,南 北,2天前,随时入住,中楼层/7层,无,租用车位,民水,民电,有,自采暖,3年以上,需提前预约,季付,4200,4200,0,4200
丰台 右安门外 玉林东里三区,2020/4/20,BJ2475250353357201408,整租,2室1厅1卫,55㎡,#,李新岚,55㎡,南,2天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4800,4800,0,4800
石景山 城子 天翠阳光新城,2020/4/20,BJ2489194480448839680,整租,2室1厅1卫,77㎡,精装修,邓芳梅,77㎡,南,2天前,随时入住,低楼层/16层,有,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,3600,3600,0,3600
顺义 马坡 新马家园,2020/4/16,BJ2365157456801710080,整租,1室1厅1卫,65㎡,精装修,薛猛,65㎡,南,6天前,随时入住,高楼层/27层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,2600,2600,0,2600
顺义 顺义城 石园西区,2020/4/20,BJ2465835471939846144,整租,1室1厅1卫,59㎡,#,刘宝鑫,59㎡,南 北,2天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3000,3000,0,3000
朝阳 十里河 吕营嘉园C区,2020/4/20,BJ2429723924456808448,整租,1室1厅1卫,54㎡,精装修,高雪君,54㎡,南 北,2天前,随时入住,低楼层/6层,无,租用车位,民水,民电,有,自采暖,2年以内,需提前预约,季付,4500,4500,0,4500
朝阳 双桥 广播大院,2020/4/20,BJ2412827479066034176,整租,2室1厅1卫,86㎡,精装修,高继禄,86㎡,南 北,2天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,4500,4500,0,4500
房山 窦店 燕都园世界名园北区,2020/4/20,BJ2478938110642634752,整租,2室1厅2卫,103㎡,#,丁其深,103㎡,南 北,2天前,随时入住,低楼层/6层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,需咨询,2100,2100,0,2100
石景山 苹果园 广宁村,2020/4/20,BJ2309390049118535680,整租,2室1厅1卫,57㎡,#,王欢,57㎡,南 北,2天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3300,3300,0,3300
大兴 天宫院南 御园C区,2020/4/20,BJ2462374703298248704,整租,2室2厅1卫,89㎡,#,王梓龙,89㎡,南 北,2天前,随时入住,中楼层/15层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,2800,2800,0,2800
大兴 枣园 团河苑,2020/4/20,BJ2385404545313275904,整租,2室1厅1卫,61㎡,#,张雨晴,61㎡,南 北,2天前,随时入住,低楼层/6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖,暂无数据,需提前预约,季付,3100,3100,0,3100
大兴 天宫院南 御园A区,2020/4/20,BJ2480264588138905600,整租,2室2厅1卫,85㎡,#,王梓龙,85㎡,南 北,2天前,随时入住,低楼层/15层,有,暂无数据,暂无数据,暂无数据,有,集中供暖,暂无数据,需提前预约,需咨询,2700,2700,0,2700
朝阳 首都机场 北平里,2020/4/20,BJ2387473282581397504,整租,2室1厅1卫,58㎡,#,宋海超,58㎡,南 北,2天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,4000,4000,0,4000
顺义 顺义其它 水色时光四区,2020/4/20,BJ2487527163675820032,整租,2室2厅2卫,102㎡,精装修,刘永明,102㎡,南,2天前,随时入住,高楼层/11层,有,免费使用,民水,民电,有,自采暖,2年以内,需提前预约,需咨询,2800,2800,0,2800
顺义 顺义城 石园东区,2020/4/20,BJ2478944694533898240,整租,2室1厅1卫,59㎡,#,崔艳波,59㎡,南 北,2天前,2020/4/30,低楼层/6层,无,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,需咨询,3000,3000,0,3000
门头沟 大峪 新桥大街39号院,2020/4/20,BJ2483236702211555328,整租,1室1厅1卫,65㎡,#,张晓伟,65㎡,南 北,2天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,2500,2500,0,2500
门头沟 大峪 新桥路小区,2020/4/20,BJ2483240349511204864,整租,2室1厅1卫,61㎡,#,张晓伟,61㎡,南 北,2天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,2500,2500,0,2500
朝阳 双桥 双桥六号井,2020/4/20,BJ2417165022901321728,整租,2室1厅1卫,57㎡,#,陈涛,57㎡,南,2天前,随时入住,高楼层/4层,无,暂无数据,民水,民电,有,集中供暖,1年以内,一般下班后可看,季付,3600,3600,0,3600
亦庄开发区 马驹桥 宏仁家园,2020/4/22,BJ2386890502269042688,整租,2室1厅1卫,88㎡,#,周然,88㎡,南,今天,随时入住,中楼层/28层,有,暂无数据,暂无数据,暂无数据,有,集中供暖,暂无数据,需提前预约,需咨询,3300,3300,0,3300
石景山 石景山其它 高井中学教工楼,2020/4/22,BJ2324625250475573248,整租,2室1厅1卫,54㎡,#,姚诗楠,54㎡,南,今天,随时入住,高楼层/6层,无,暂无数据,民水,民电,暂无数据,集中供暖,暂无数据,需提前预约,需咨询,3200,3200,0,3200
房山 良乡 西潞园三里,2020/4/22,BJ2425141410937176064,整租,2室1厅1卫,80㎡,#,郭撬,80㎡,南 北,今天,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,2500,2500,0,2500
石景山 石景山其它 高井中学教工楼,2020/4/22,BJ2324625250475573248,整租,2室1厅1卫,54㎡,#,刘畅,54㎡,南,今天,随时入住,高楼层/6层,无,暂无数据,民水,民电,暂无数据,集中供暖,暂无数据,需提前预约,需咨询,3200,3200,0,3200
丰台 五里店 丰西北里甲7号院,2020/4/22,BJ2394053886207344640,整租,3室1厅1卫,92㎡,#,刘金龙,92㎡,东南,今天,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3900,3900,0,3900
丰台 卢沟桥 新月家园,2020/4/22,BJ2473737414267912192,整租,1室1厅1卫,72㎡,#,卢亚平,72㎡,东 西,今天,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3800,3800,0,3800
顺义 顺义城 仁和花园二区,2020/4/22,BJ2404867351683547136,整租,1室1厅1卫,58㎡,精装修,王云,58㎡,东,今天,随时入住,中楼层/13层,有,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2年以内,需提前预约,需咨询,2800,2800,0,2800
亦庄开发区 马驹桥 宏仁家园,2020/4/15,BJ2419463456798547968,整租,2室1厅1卫,90㎡,#,杜孟和,90㎡,南 北,7天前,随时入住,高楼层/16层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3400,3400,0,3400
顺义 顺义城 仓上小区,2020/4/11,BJ2478056843516321792,整租,2室1厅1卫,68㎡,#,靳少卫,68㎡,南 北,11天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,需咨询,3000,3000,0,3000
大兴 大兴其它 华远和墅,2020/4/15,BJ2464353480220360704,整租,2室1厅1卫,74㎡,精装修,宋晓旭,74㎡,南 北,7天前,随时入住,高楼层/4层,无,暂无数据,暂无数据,暂无数据,有,集中供暖,2年以内,需提前预约,年付,2900,2900,0,2900
房山 良乡 西潞园三里,2020/4/22,BJ2425141410937176064,整租,2室1厅1卫,80㎡,#,候召明,80㎡,南 北,今天,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,2500,2500,0,2500
丰台 青塔 青塔芳园,2020/4/22,BJ2462265248783548416,整租,1室1厅1卫,65㎡,#,任杰,65㎡,南 北,今天,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,3800,3800,0,3800
石景山 城子 天翠阳光新城,2020/4/10,BJ2410009234529337344,整租,2室1厅1卫,72㎡,#,薛晓文,72㎡,南,12天前,随时入住,高楼层/16层,有,暂无数据,暂无数据,暂无数据,有,集中供暖,暂无数据,需提前预约,需咨询,3600,3600,0,3600
顺义 顺义城 石园西区,2020/4/13,BJ2405665012741324800,整租,1室1厅1卫,58㎡,#,靳少卫,58㎡,东,9天前,随时入住,低楼层/6层,无,免费使用,民水,民电,有,集中供暖,3年以上,需提前预约,季付,2500,2500,0,2500
石景山 城子 天翠阳光新城,2020/4/16,BJ2418702196259962880,整租,2室1厅1卫,77㎡,#,王鸿婷,77㎡,南,6天前,随时入住,高楼层/16层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3500,3500,0,3500
房山 良乡 明源南里,2020/4/18,BJ2407218748886368256,整租,2室1厅1卫,65㎡,#,吕行,65㎡,南 北,4天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,需咨询,2100,2100,0,2100
亦庄开发区 马驹桥 米拉小镇,2020/4/18,BJ2491069262522236928,整租,1室1厅1卫,60㎡,#,王慧斌,60㎡,东 西 北,4天前,随时入住,低楼层/18层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,4000,4000,0,4000
亦庄开发区 亦庄开发区其它 南海雅苑北区,2020/4/20,BJ2487561692092047360,整租,2室1厅1卫,76㎡,#,齐文文,76㎡,东 西,2天前,随时入住,高楼层/22层,无,暂无数据,暂无数据,暂无数据,有,集中供暖,3年以内,需提前预约,季付,4000,4000,0,4000
石景山 苹果园 模式口北里,2020/4/15,BJ2483932623303344128,整租,2室2厅1卫,74㎡,#,姚尧,74㎡,南,7天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3600,3600,0,3600
丰台 五里店 丰西北里,2020/4/22,BJ2462377697343438848,整租,1室1厅1卫,54㎡,#,邹贺,54㎡,南 北,今天,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,3100,3100,0,3100
大兴 大兴其它 新兴家园,2020/4/22,BJ2483465918651572224,整租,2室1厅1卫,90㎡,#,袁丽娟,90㎡,南 北,今天,随时入住,中楼层/10层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,需咨询,3000,3000,0,3000
房山 良乡 北关东路社区,2020/4/22,BJ2449982331289600000,整租,2室1厅1卫,57㎡,#,邓浩,57㎡,南 北,今天,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,需咨询,2200,2200,0,2200
丰台 卢沟桥 晓月家园,2020/4/22,BJ2467375131304140800,整租,2室1厅1卫,70㎡,#,乔佳璐,70㎡,东 北,今天,随时入住,低楼层/21层,有,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,3年以内,需提前预约,季付,3900,3900,0,3900
顺义 马坡 马坡花园二区,2020/4/22,BJ2419588232645197824,整租,2室2厅1卫,85㎡,精装修,黄秦,85㎡,南 北,今天,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,3000,3000,0,3000
房山 良乡 明源南里,2020/4/22,BJ2422458148641587200,整租,2室1厅1卫,56㎡,#,吕行,56㎡,南 北,今天,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,需咨询,2200,2200,0,2200
亦庄开发区 马驹桥 宏仁家园,2020/4/22,BJ2386890502269042688,整租,2室1厅1卫,88㎡,#,周然,88㎡,南,今天,随时入住,中楼层/28层,有,暂无数据,暂无数据,暂无数据,有,集中供暖,暂无数据,需提前预约,需咨询,3300,3300,0,3300
亦庄开发区 马驹桥 新海南里,2020/4/15,BJ2483277233599283200,整租,2室1厅1卫,71㎡,#,李莹,71㎡,南 北,7天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,3300,3300,0,3300
顺义 顺义城 仁和花园一区,2020/4/22,BJ2423674978584510464,整租,1室1厅1卫,62㎡,精装修,张佳奇,62㎡,东 北,今天,随时入住,高楼层/15层,有,免费使用,暂无数据,暂无数据,暂无数据,暂无数据,3年以内,需提前预约,季付,3100,3100,0,3100
大兴 天宫院南 隆盛园,2020/4/22,BJ2399868096631275520,整租,3室2厅1卫,122㎡,#,王琳,122㎡,南 北,今天,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,半年付,3100,3100,0,3100
昌平 西关环岛 大三尖,2020/4/22,BJ2333925000672706560,整租,2室1厅1卫,106㎡,#,靖子鑫,106㎡,南 北,今天,2020/4/30,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,3000,3000,0,3000
亦庄开发区 亦庄开发区其它 泰河园三里,2020/4/22,BJ2298397175954014208,整租,1室1厅1卫,60㎡,#,方皓,60㎡,南 北,今天,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,需咨询,3500,3500,0,3500
亦庄开发区 马驹桥 宏仁家园,2020/4/22,BJ2434567655412203520,整租,2室1厅1卫,87㎡,精装修,李秀真,87㎡,南,今天,随时入住,高楼层/28层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,3200,3200,0,3200
亦庄开发区 亦庄开发区其它 泰河园三里,2020/4/15,BJ2488442132009336832,整租,2室1厅1卫,90㎡,#,黄丽,90㎡,南 北,7天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4000,4000,0,4000
亦庄开发区 亦庄开发区其它 泰河园三里,2020/4/15,BJ2488442132009336832,整租,2室1厅1卫,90㎡,#,黄丽,90㎡,南 北,7天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4000,4000,0,4000
顺义 顺义城 滨河小区,2020/4/22,BJ2296341281611726848,整租,1室1厅1卫,60㎡,#,杨云飞,60㎡,南 北,今天,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,一般下班后可看,需咨询,2500,2500,0,2500
顺义 顺义城 石园西区,2020/4/22,BJ2275280425284796416,整租,1室1厅1卫,58㎡,#,李环环,58㎡,南 北,今天,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,季付,2300,2300,0,2300
顺义 顺义城 滨河小区,2020/4/22,BJ2209339997466148864,整租,1室1厅1卫,60㎡,#,刘秀莲,60㎡,南 北,今天,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,季付,2400,2400,0,2400
房山 良乡 建华北里小区,2020/4/22,BJ2354797023351816192,整租,2室1厅1卫,76㎡,#,蔡永昌,76㎡,南 北,今天,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,2200,2200,0,2200
亦庄开发区 马驹桥 宏仁家园,2020/4/22,BJ2434567655412203520,整租,2室1厅1卫,87㎡,精装修,范志芳,87㎡,南,今天,随时入住,高楼层/28层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,3200,3200,0,3200
顺义 马坡 香悦四季,2020/4/22,BJ2483080660219068416,整租,2房间1卫,61㎡,精装修,陈晚银,61㎡,东,今天,随时入住,高楼层/14层,有,免费使用,商水,商电,无,集中供暖,2年以内,需提前预约,季付,2600,2600,0,2600
亦庄开发区 亦庄开发区其它 泰河园三里,2020/4/22,BJ2298397175954014208,整租,1室1厅1卫,60㎡,#,徐芳婷,60㎡,南 北,今天,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,需咨询,3500,3500,0,3500
房山 良乡 花园巷小区,2020/4/22,BJ2361479228051947520,整租,2室1厅1卫,71㎡,#,邓浩,71㎡,南 北,今天,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,3年以内,需提前预约,季付,2300,2300,0,2300
顺义 顺义城 滨河小区,2020/4/22,BJ2262861578662068224,整租,2室1厅1卫,59㎡,#,付东川,59㎡,南 北,今天,随时入住,中楼层/6层,无,免费使用,民水,民电,有,集中供暖,3年以内,需提前预约,季付,2300,2300,0,2300
昌平 南口 兴隆小区,2020/4/22,BJ2478773067514380288,整租,2室1厅1卫,67㎡,精装修,周晓红,67㎡,南 北,今天,随时入住,低楼层/6层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2年以内,需提前预约,季付,3000,3000,0,3000
昌平 西关环岛 郝庄家园东区,2020/4/22,BJ2433194224955965440,整租,2室1厅1卫,66㎡,#,关美娇,66㎡,南 北,今天,随时入住,中楼层/6层,无,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,季付,3000,3000,0,3000
昌平 西关环岛 郝庄家园东区,2020/4/22,BJ2465104458766622720,整租,2室1厅1卫,78㎡,精装修,任宇,78㎡,南 北,今天,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,需咨询,2900,2900,0,2900
昌平 昌平其它 马池口红冶家属院,2020/4/22,BJ2474368353662140416,整租,2室1厅1卫,73㎡,#,关美娇,73㎡,南 北,今天,随时入住,高楼层/6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖,2年以内,需提前预约,需咨询,2900,2900,0,2900
昌平 西关环岛 郝庄家园东区,2020/4/22,BJ2370170258733670400,整租,2室1厅1卫,72㎡,#,任宇,72㎡,南 北,今天,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,需咨询,2600,2600,0,2600
朝阳 高碑店 兴隆家园,2020/4/15,BJ2460156896649420800,整租,1室0厅1卫,36㎡,精装修,刘圣方,36㎡,北,7天前,随时入住,高楼层/24层,有,租用车位,民水,民电,有,集中供暖,3年以上,需提前预约,季付,5000,5000,0,5000
朝阳 甘露园 甘露家园,2020/4/15,BJ2471646452817076224,整租,2室1厅1卫,41㎡,#,李建文,41㎡,西南,7天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,4800,4800,0,4800
房山 阎村 燕化星城北里,2020/4/8,BJ2481671934887608320,整租,2室1厅1卫,96㎡,#,罗中伟,96㎡,南,14天前,随时入住,高楼层/6层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,需咨询,2300,2300,0,2300
东城 永定门 安乐林二条,2020/4/16,BJ2476569473767702528,整租,2室1厅1卫,58㎡,#,赵珊珊,58㎡,南 北,6天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,4800,4800,0,4800
东城 左安门 东四块玉南街30号院,2020/4/16,BJ2387489125784616960,整租,2室1厅1卫,58㎡,#,胡常灵,58㎡,南 北,6天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,5000,5000,0,5000
石景山 鲁谷 五芳园,2020/4/17,BJ2391056936402690048,整租,1室1厅1卫,48㎡,#,李贺,48㎡,南,5天前,随时入住,低楼层/6层,无,租用车位,民水,民电,有,集中供暖,2年以内,需提前预约,季付,3700,3700,0,3700
朝阳 定福庄 电建北院,2020/4/18,BJ2288110366447632384,整租,1室1厅1卫,41㎡,#,谷宏涛,41㎡,南,4天前,随时入住,高楼层/6层,无,租用车位,民水,民电,有,集中供暖,3年以内,需提前预约,季付,4300,4300,0,4300
顺义 顺义城 双兴南区,2020/4/15,BJ2467940157169336320,整租,1室1厅1卫,68㎡,#,史辕,68㎡,南 北,7天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,2700,2700,0,2700
朝阳 劲松 劲松三区,2020/4/21,BJ2487742206153605120,整租,1室1厅1卫,39㎡,#,段帅奇,39㎡,东,1天前,随时入住,低楼层/12层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,需咨询,4800,4800,0,4800
东城 崇文门 信用北里,2020/4/21,BJ2452177326654898176,整租,1室1厅1卫,36㎡,精装修,史思雨,36㎡,东,1天前,随时入住,高楼层/5层,无,暂无数据,暂无数据,暂无数据,暂无数据,集中供暖,3年以内,需提前预约,季付,4400,4400,0,4400
顺义 顺义城 建新南区,2020/4/12,BJ2491073212256100352,整租,2室1厅1卫,60㎡,#,韩春雪,60㎡,南 北,10天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,3年以上,需提前预约,季付,2700,2700,0,2700
西城 广安门 车站西街17号院,2020/4/20,BJ2365705005404790784,整租,1室1厅1卫,48㎡,#,张悦,48㎡,南,2天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,4300,4300,0,4300
朝阳 双桥 远洋一方润园6号院,2020/4/10,BJ2383853616743596032,整租,2室1厅2卫,75㎡,精装修,伊聪颖,75㎡,东 西,12天前,随时入住,低楼层/15层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,5100,5100,0,5100
顺义 顺义城 建新北区,2020/4/22,BJ2380186471853735936,整租,2室1厅1卫,53㎡,#,董帅旗,53㎡,南,今天,随时入住,中楼层/5层,无,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,季付,3000,3000,0,3000
